From ERCOT historic data.  No screening or filtering applied.  Data looks good though from basic time series plot (2019),,,,
There is 1 hour of missing demand (2016,11,7,6) which is filled with linear interpolation,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2018,1,6,7,37837.622323
2018,1,6,8,37428.135896
2018,1,6,9,37414.016648000004
2018,1,6,10,37853.344454000005
2018,1,6,11,38639.871475
2018,1,6,12,40016.580106
2018,1,6,13,41748.498805
2018,1,6,14,43146.73608
2018,1,6,15,43483.421795
2018,1,6,16,42553.436638
2018,1,6,17,40980.58113
2018,1,6,18,38977.504333
2018,1,6,19,37140.555779
2018,1,6,20,35650.154399
2018,1,6,21,34549.709624
2018,1,6,22,34081.880207999995
2018,1,6,23,34222.607162
2018,1,6,24,35722.844208999995
2018,1,7,1,37665.10452
2018,1,7,2,37790.373199
2018,1,7,3,37489.805354000004
2018,1,7,4,36921.360888999996
2018,1,7,5,35772.332555
2018,1,7,6,34314.168708
2018,1,7,7,33025.925584
2018,1,7,8,32160.065962
2018,1,7,9,31691.973813
2018,1,7,10,31482.431729000004
2018,1,7,11,31627.506257
2018,1,7,12,32268.095041000004
2018,1,7,13,33236.480423
2018,1,7,14,34334.277545
2018,1,7,15,35387.759246
2018,1,7,16,36224.75815
2018,1,7,17,36391.594613
2018,1,7,18,36165.848415
2018,1,7,19,35910.393924
2018,1,7,20,35726.659695999995
2018,1,7,21,35382.241933
2018,1,7,22,35290.913186
2018,1,7,23,35677.949179
2018,1,7,24,37006.193198
2018,1,8,1,38085.310713
2018,1,8,2,37896.025010000005
2018,1,8,3,37102.952884
2018,1,8,4,35880.205093000004
2018,1,8,5,33992.684812
2018,1,8,6,32063.404931999998
2018,1,8,7,30767.007132
2018,1,8,8,30231.165136
2018,1,8,9,30174.98405
2018,1,8,10,30740.039419
2018,1,8,11,32168.562975999997
2018,1,8,12,35067.399499
2018,1,8,13,39207.626562
2018,1,8,14,41073.718944
2018,1,8,15,40585.97354
2018,1,8,16,39819.44715
2018,1,8,17,39118.992908
2018,1,8,18,38234.794033
2018,1,8,19,37366.94861
2018,1,8,20,36734.872513
2018,1,8,21,36117.404056
2018,1,8,22,35640.168870999994
2018,1,8,23,35707.561479
2018,1,8,24,36933.056676
2018,1,9,1,39412.751633
2018,1,9,2,39807.759539
2018,1,9,3,39607.12866
2018,1,9,4,38758.372356
2018,1,9,5,36941.687133
2018,1,9,6,35287.541555
2018,1,9,7,34135.077268
2018,1,9,8,33894.169243000004
2018,1,9,9,34182.46582
2018,1,9,10,34877.711644
2018,1,9,11,36465.8104
2018,1,9,12,39634.216473
2018,1,9,13,44226.266223
2018,1,9,14,45808.567929000004
2018,1,9,15,44682.167286
2018,1,9,16,43315.78607
2018,1,9,17,42079.199887
2018,1,9,18,40714.709642
2018,1,9,19,39439.206007
2018,1,9,20,38460.979425
2018,1,9,21,37721.98155
2018,1,9,22,37297.065756
2018,1,9,23,37615.126822000006
2018,1,9,24,39207.531648000004
2018,1,10,1,41627.133398000005
2018,1,10,2,41865.24628
2018,1,10,3,41482.87439
2018,1,10,4,40102.790056
2018,1,10,5,37816.834315
2018,1,10,6,35567.239164
2018,1,10,7,34211.987357
2018,1,10,8,33574.517856
2018,1,10,9,33419.771513
2018,1,10,10,33535.071977
2018,1,10,11,34532.844134
2018,1,10,12,37032.349235
2018,1,10,13,40975.144452
2018,1,10,14,42276.188358
2018,1,10,15,41570.835316000004
2018,1,10,16,41178.487919
2018,1,10,17,40729.098926
2018,1,10,18,40071.759726
2018,1,10,19,39337.673173
2018,1,10,20,38621.119538
2018,1,10,21,37897.322781
2018,1,10,22,37205.821312
2018,1,10,23,36960.462605
2018,1,10,24,38072.465628
2018,1,11,1,40312.159104000006
2018,1,11,2,40060.538176999995
2018,1,11,3,39387.746866
2018,1,11,4,37990.599481
2018,1,11,5,35579.004099
2018,1,11,6,33211.482145999995
2018,1,11,7,31502.088779
2018,1,11,8,30506.580218
2018,1,11,9,30016.553025999998
2018,1,11,10,29909.126185
2018,1,11,11,30679.638902
2018,1,11,12,33065.846891
2018,1,11,13,36858.847561
2018,1,11,14,38275.298016
2018,1,11,15,37841.798862999996
2018,1,11,16,37652.716518
2018,1,11,17,37815.167868000004
2018,1,11,18,38016.915801999996
2018,1,11,19,38199.592478
2018,1,11,20,38823.332232
2018,1,11,21,39418.727884
2018,1,11,22,40180.766723
2018,1,11,23,41542.452495
2018,1,11,24,43339.300186
2018,1,12,1,46054.96026
2018,1,12,2,46961.962018
2018,1,12,3,47472.803424
2018,1,12,4,47009.871409
2018,1,12,5,45407.973911
2018,1,12,6,43902.834697000006
2018,1,12,7,43257.883327999996
2018,1,12,8,43310.258531
2018,1,12,9,43803.660389
2018,1,12,10,44682.464823
2018,1,12,11,46427.38182
2018,1,12,12,49762.122054
2018,1,12,13,54466.762164
2018,1,12,14,56195.260127999994
2018,1,12,15,54892.386494000006
2018,1,12,16,53176.933461
2018,1,12,17,51160.727248
2018,1,12,18,48873.282877
2018,1,12,19,46417.507911
2018,1,12,20,44374.213207
2018,1,12,21,42437.744901
2018,1,12,22,41260.956428
2018,1,12,23,41268.075306
2018,1,12,24,42932.715363
2018,1,13,1,45894.611863
2018,1,13,2,46650.600079
2018,1,13,3,46973.344541000006
2018,1,13,4,46726.061399
2018,1,13,5,45867.430687
2018,1,13,6,44759.462258
2018,1,13,7,44063.673867000005
2018,1,13,8,43854.354566
2018,1,13,9,44119.425606
2018,1,13,10,44583.613038999996
2018,1,13,11,45617.014659
2018,1,13,12,47187.413531
2018,1,13,13,49302.184833
2018,1,13,14,51188.335707
2018,1,13,15,51634.217783
2018,1,13,16,50659.548548
2018,1,13,17,48705.236270999994
2018,1,13,18,46242.435463
2018,1,13,19,43677.636397
2018,1,13,20,41244.677959
2018,1,13,21,39376.66201
2018,1,13,22,38236.390263
2018,1,13,23,38152.091258
2018,1,13,24,40019.981017
2018,1,14,1,43333.231445
2018,1,14,2,44645.786825999996
2018,1,14,3,45337.11294
2018,1,14,4,45538.745478
2018,1,14,5,44923.698513999996
2018,1,14,6,44142.774135
2018,1,14,7,43480.893860000004
2018,1,14,8,43194.035473
2018,1,14,9,43316.964163
2018,1,14,10,43671.989806
2018,1,14,11,44383.041999
2018,1,14,12,45601.400642
2018,1,14,13,47287.033013
2018,1,14,14,48716.780032999995
2018,1,14,15,48857.883836
2018,1,14,16,47164.694239
2018,1,14,17,44603.210607
2018,1,14,18,42014.269876
2018,1,14,19,39831.777857
2018,1,14,20,37914.166529
2018,1,14,21,36468.387634
2018,1,14,22,35651.849696
2018,1,14,23,35643.038092
2018,1,14,24,37332.272770999996
2018,1,15,1,40310.790712
2018,1,15,2,41288.186639
2018,1,15,3,41797.393017
2018,1,15,4,41496.741632
2018,1,15,5,40345.444932
2018,1,15,6,38985.180644
2018,1,15,7,38149.661479
2018,1,15,8,37887.516172
2018,1,15,9,37934.816758999994
2018,1,15,10,38529.93651
2018,1,15,11,39793.90066
2018,1,15,12,42134.132921
2018,1,15,13,45036.161204
2018,1,15,14,46567.255413
2018,1,15,15,45854.411418
2018,1,15,16,44075.003958
2018,1,15,17,42243.163465
2018,1,15,18,40567.970032
2018,1,15,19,38983.606094999996
2018,1,15,20,38083.969576999996
2018,1,15,21,37608.989775
2018,1,15,22,37659.211537999996
2018,1,15,23,38700.482864
2018,1,15,24,40980.252011000004
2018,1,16,1,43384.91269
2018,1,16,2,44178.085786
2018,1,16,3,44361.781698
2018,1,16,4,43912.239048
2018,1,16,5,42842.897895999995
2018,1,16,6,41805.451636
2018,1,16,7,41501.246946
2018,1,16,8,41948.934049
2018,1,16,9,42904.875756
2018,1,16,10,44370.395124
2018,1,16,11,46704.621245999995
2018,1,16,12,50203.004059
2018,1,16,13,54591.200595
2018,1,16,14,57599.098221
2018,1,16,15,59101.227178999994
2018,1,16,16,60335.552708
2018,1,16,17,60931.802608000005
2018,1,16,18,61128.846985000004
2018,1,16,19,60763.017934
2018,1,16,20,59907.479347
2018,1,16,21,58805.35778200001
2018,1,16,22,58429.652566
2018,1,16,23,58984.73358099999
2018,1,16,24,60851.175753999996
2018,1,17,1,63070.995503
2018,1,17,2,63383.23003300001
2018,1,17,3,62784.949336
2018,1,17,4,61385.160668
2018,1,17,5,59097.01769400001
2018,1,17,6,57373.486972000006
2018,1,17,7,56461.054402999995
2018,1,17,8,56263.045191
2018,1,17,9,56489.909511
2018,1,17,10,57146.67806699999
2018,1,17,11,58701.537029
2018,1,17,12,61281.661103
2018,1,17,13,64579.617548
2018,1,17,14,65750.25544600001
2018,1,17,15,64628.607619
2018,1,17,16,62744.42041599999
2018,1,17,17,60532.712895000004
2018,1,17,18,57953.550041999995
2018,1,17,19,55513.104201999995
2018,1,17,20,53169.514604
2018,1,17,21,51137.046028
2018,1,17,22,50081.413279
2018,1,17,23,50573.658203
2018,1,17,24,53417.053998
2018,1,18,1,57449.355859
2018,1,18,2,58587.04593200001
2018,1,18,3,58725.963202
2018,1,18,4,57472.166208
2018,1,18,5,55162.329045000006
2018,1,18,6,53263.693136
2018,1,18,7,52194.079744
2018,1,18,8,51972.694037
2018,1,18,9,52154.435419
2018,1,18,10,52669.854837
2018,1,18,11,53908.128236000004
2018,1,18,12,56558.882004
2018,1,18,13,60498.38579
2018,1,18,14,61356.679659
2018,1,18,15,59652.094164999995
2018,1,18,16,57562.373802999995
2018,1,18,17,55610.726457000004
2018,1,18,18,53459.823028
2018,1,18,19,51156.18629
2018,1,18,20,49385.222708999994
2018,1,18,21,48261.207435000004
2018,1,18,22,47986.27848
2018,1,18,23,48812.931068
2018,1,18,24,50770.745693
2018,1,19,1,53089.794918
2018,1,19,2,53484.431915
2018,1,19,3,53362.056675
2018,1,19,4,51952.030526
2018,1,19,5,49297.542018
2018,1,19,6,46951.279363
2018,1,19,7,45387.903119
2018,1,19,8,44602.528361000004
2018,1,19,9,44351.259058999996
2018,1,19,10,44333.216131
2018,1,19,11,45203.807473
2018,1,19,12,47556.874314
2018,1,19,13,51297.223475
2018,1,19,14,52168.838358
2018,1,19,15,50861.779739
2018,1,19,16,49781.336657
2018,1,19,17,48454.045289999995
2018,1,19,18,46648.711517
2018,1,19,19,45031.726337
2018,1,19,20,43476.25479
2018,1,19,21,42126.390636000004
2018,1,19,22,41447.397617
2018,1,19,23,41515.372225
2018,1,19,24,42446.07903
2018,1,20,1,43824.753018999996
2018,1,20,2,43328.372469
2018,1,20,3,42579.779036
2018,1,20,4,41280.535858999996
2018,1,20,5,39469.450026
2018,1,20,6,37357.050843
2018,1,20,7,35765.224174
2018,1,20,8,34609.237605
