Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,1,9,22,0.573203347
2018,1,9,23,0.407118796
2018,1,9,24,0.082262759
2018,1,10,1,0
2018,1,10,2,0
2018,1,10,3,0
2018,1,10,4,0
2018,1,10,5,0
2018,1,10,6,0
2018,1,10,7,0
2018,1,10,8,0
2018,1,10,9,0
2018,1,10,10,0
2018,1,10,11,0
2018,1,10,12,0
2018,1,10,13,0
2018,1,10,14,0
2018,1,10,15,0.224623298
2018,1,10,16,0.558704091
2018,1,10,17,0.631625645
2018,1,10,18,0.603381752
2018,1,10,19,0.579209423
2018,1,10,20,0.577190567
2018,1,10,21,0.600743669
2018,1,10,22,0.60678274
2018,1,10,23,0.505357368
2018,1,10,24,0.096432972
2018,1,11,1,0
2018,1,11,2,0
2018,1,11,3,0
2018,1,11,4,0
2018,1,11,5,0
2018,1,11,6,0
2018,1,11,7,0
2018,1,11,8,0
2018,1,11,9,0
2018,1,11,10,0
2018,1,11,11,0
2018,1,11,12,0
2018,1,11,13,0
2018,1,11,14,0
2018,1,11,15,0.205762382
2018,1,11,16,0.452068039
2018,1,11,17,0.535076912
2018,1,11,18,0.546404739
2018,1,11,19,0.570102506
2018,1,11,20,0.606152342
2018,1,11,21,0.651947887
2018,1,11,22,0.692787589
2018,1,11,23,0.567029301
2018,1,11,24,0.092762137
2018,1,12,1,0
2018,1,12,2,0
2018,1,12,3,0
2018,1,12,4,0
2018,1,12,5,0
2018,1,12,6,0
2018,1,12,7,0
2018,1,12,8,0
2018,1,12,9,0
2018,1,12,10,0
2018,1,12,11,0
2018,1,12,12,0
2018,1,12,13,0
2018,1,12,14,0
2018,1,12,15,0.267999125
2018,1,12,16,0.6912758
2018,1,12,17,0.718275458
2018,1,12,18,0.658660951
2018,1,12,19,0.63127633
2018,1,12,20,0.628623307
2018,1,12,21,0.644413576
2018,1,12,22,0.677446379
2018,1,12,23,0.559012768
2018,1,12,24,0.088774904
2018,1,13,1,0
2018,1,13,2,0
2018,1,13,3,0
2018,1,13,4,0
2018,1,13,5,0
2018,1,13,6,0
2018,1,13,7,0
2018,1,13,8,0
2018,1,13,9,0
2018,1,13,10,0
2018,1,13,11,0
2018,1,13,12,0
2018,1,13,13,0
2018,1,13,14,0
2018,1,13,15,0.245150688
2018,1,13,16,0.690902836
2018,1,13,17,0.724023123
2018,1,13,18,0.668409643
2018,1,13,19,0.641803117
2018,1,13,20,0.641017141
2018,1,13,21,0.666790372
2018,1,13,22,0.693882483
2018,1,13,23,0.567655537
2018,1,13,24,0.101387307
2018,1,14,1,0
2018,1,14,2,0
2018,1,14,3,0
2018,1,14,4,0
2018,1,14,5,0
2018,1,14,6,0
2018,1,14,7,0
2018,1,14,8,0
2018,1,14,9,0
2018,1,14,10,0
2018,1,14,11,0
2018,1,14,12,0
2018,1,14,13,0
2018,1,14,14,0
2018,1,14,15,0.437741774
2018,1,14,16,0.671022783
2018,1,14,17,0.709224956
2018,1,14,18,0.656838045
2018,1,14,19,0.627441607
2018,1,14,20,0.627924997
2018,1,14,21,0.654068546
2018,1,14,22,0.686068895
2018,1,14,23,0.591202213
2018,1,14,24,0.095044466
2018,1,15,1,0
2018,1,15,2,0
2018,1,15,3,0
2018,1,15,4,0
2018,1,15,5,0
2018,1,15,6,0
2018,1,15,7,0
2018,1,15,8,0
2018,1,15,9,0
2018,1,15,10,0
2018,1,15,11,0
2018,1,15,12,0
2018,1,15,13,0
2018,1,15,14,0
2018,1,15,15,0.369880854
2018,1,15,16,0.592963493
2018,1,15,17,0.64315228
2018,1,15,18,0.606193727
2018,1,15,19,0.578727123
2018,1,15,20,0.574841025
2018,1,15,21,0.588750042
2018,1,15,22,0.584863763
2018,1,15,23,0.477260224
2018,1,15,24,0.107726069
2018,1,16,1,0
2018,1,16,2,0
2018,1,16,3,0
2018,1,16,4,0
2018,1,16,5,0
2018,1,16,6,0
2018,1,16,7,0
