case name,problem status,target reliability,system cost ($/kW/h),capacity nuclear (kW),capacity storage (kW),capacity solar (kW),capacity wind (kW),dispatch unmet demand (kW)
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead15-16_15-16,optimal,0.9997,0.10572309388906423,0.8414660305267336,0.6938598215262514,0.7960895486041912,0.9274087264723873,0.0002999999999999664,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead15-16_16-17,optimal,0.9997,0.10441973987078859,0.8414660305267336,0.6938598215262514,0.7960895486041912,0.9274087264723873,0.00017583158519904007,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead15-16_17-18,optimal,0.9997,0.11291007845639996,0.8414660305267336,0.6938598215262514,0.7960895486041912,0.9274087264723873,0.0009952671968320758,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead15-16_18-19,optimal,0.9997,0.10599465409215184,0.8414660305267336,0.6938598215262514,0.7960895486041912,0.9274087264723873,0.00024376751318817938,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead16-17_15-16,optimal,0.9997,0.10917387068148783,0.7882933712028612,0.8728566635498555,0.7494250598616046,1.0598564220929456,0.0008383854587831509,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead16-17_16-17,optimal,0.9997,0.10372472155708246,0.7882933712028612,0.8728566635498555,0.7494250598616046,1.0598564220929456,0.0002999999999999663,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead16-17_17-18,optimal,0.9997,0.11525146989000462,0.7882933712028612,0.8728566635498555,0.7494250598616046,1.0598564220929456,0.0014174104924085027,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead16-17_18-19,optimal,0.9997,0.10820181495116177,0.7882933712028612,0.8728566635498555,0.7494250598616046,1.0598564220929456,0.0006513500735938583,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead17-18_15-16,optimal,0.9997,0.10815804121506864,0.9817023227282654,0.6584840677193358,0.4803609587477161,0.7908252568336999,0.00030316449626678323,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead17-18_16-17,optimal,0.9997,0.10619432010550933,0.9817023227282654,0.6584840677193358,0.4803609587477161,0.7908252568336999,0.00010983067379129291,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead17-18_17-18,optimal,0.9997,0.10833041680055805,0.9817023227282654,0.6584840677193358,0.4803609587477161,0.7908252568336999,0.0002999999999999655,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead17-18_18-19,optimal,0.9997,0.1088181279595358,0.9817023227282654,0.6584840677193358,0.4803609587477161,0.7908252568336999,0.0002960345758628536,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead18-19_15-16,optimal,0.9997,0.10641484621379851,0.8577176341132742,0.7506423479375841,0.7820856652503537,0.7794729995047883,0.0004291628267900031,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead18-19_16-17,optimal,0.9997,0.10469427581933018,0.8577176341132742,0.7506423479375841,0.7820856652503537,0.7794729995047883,0.0002610164646724464,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead18-19_17-18,optimal,0.9997,0.1139993582653924,0.8577176341132742,0.7506423479375841,0.7820856652503537,0.7794729995047883,0.0011699058852993923,
rel_0p9997_wind_-1p0_solar_-1p0_v2_20191201_lead18-19_18-19,optimal,0.9997,0.1058685041094086,0.8577176341132742,0.7506423479375841,0.7820856652503537,0.7794729995047883,0.0002999999999999658,
